"Product Name","Product Category","Associated Partner",Fee,Branches,"Associated Workflow",Enrolled,"In Progress"
"Bachelor of Education (Primary/Secondary Specialisation)",Course,"Southern Cross University (SCU)","AUD 123,328.00","Gold Coast Campus","Australian Education",0,0
"Bachelor of Education (Primary Specialisation)",Course,"Southern Cross University (SCU)","AUD 123,328.00","Gold Coast Campus","Australian Education",0,0
"Bachelor of Education (Secondary Specialisation)",Course,"Southern Cross University (SCU)","AUD 123,328.00","Gold Coast Campus","Australian Education",0,0
"Bachelor of Engineering Systems (Honours) (Civil Engineering)",Course,"Southern Cross University (SCU)","AUD 147,840.00","Lismore Campus,Gold Coast Campus","Australian Education",0,0
"Bachelor of Engineering Systems (Honours)  (Mechanical Engineering)",Course,"Southern Cross University (SCU)","AUD 147,840.00","Lismore Campus,Gold Coast Campus","Australian Education",0,0
"Bachelor of Clinical Exercise Physiology",Course,"Southern Cross University (SCU)","AUD 123,328.00","Lismore Campus,Gold Coast Campus","Australian Education",0,0
"Bachelor of Psychological Science, Bachelor of Business and Enterprise",Course,"Southern Cross University (SCU)","AUD 123,328.00","Gold Coast Campus","Australian Education",0,0
"Bachelor of Social Work with Honours",Course,"Southern Cross University (SCU)","AUD 30,832.00","Gold Coast Campus","Australian Education",0,0
"Bachelor of Education",Course,"Southern Cross University (SCU)","AUD 123,328.00","Gold Coast Campus","Australian Education",0,0
"Bachelor of Counselling",Course,"Southern Cross University (SCU)","AUD 92,496.00","Lismore Campus,Gold Coast Campus,Coffs Harbour Campus","Australian Education",0,0
"Bachelor of Early Childhood Education",Course,"Southern Cross University (SCU)","AUD 92,496.00","Gold Coast Campus","Australian Education",0,0
"Bachelor of Information Technology, Bachelor of Business and Enterprise",Course,"Southern Cross University (SCU)","AUD 132,736.00","Gold Coast Campus","Australian Education",0,0
"Associate Degree of Engineering",Course,"Southern Cross University (SCU)","AUD 73,920.00","Lismore Campus,Gold Coast Campus","Australian Education",0,0
"Bachelor of Social Work (Honours)",Course,"Southern Cross University (SCU)","AUD 30,832.00","Gold Coast Campus","Australian Education",0,0
"Career Start (Study Abroad)",Course,"Southern Cross University (SCU)","AUD 13,780.00","Gold Coast Campus","Australian Education",0,0
"Master of Teaching (Early Childhood Specialisation)",Course,"Southern Cross University (SCU)","AUD 58,800.00","Gold Coast Campus","Australian Education",2,2
"Master of Teaching (Primary Specialisation)",Course,"Southern Cross University (SCU)","AUD 58,800.00","Gold Coast Campus","Australian Education",0,0
"Master of Teaching (Secondary Specialisation)",Course,"Southern Cross University (SCU)","AUD 58,800.00","Gold Coast Campus","Australian Education",0,0
"Master of Engineering Practice",Course,"Southern Cross University (SCU)","AUD 67,200.00","Gold Coast Campus","Australian Education",0,0
"Diploma of Health",Course,"Southern Cross University (SCU)","AUD 30,832.00","Gold Coast Campus","Australian Education",0,0
"Diploma of Regenerative Agriculture",Course,"Southern Cross University (SCU)","AUD 31,600.00","Lismore Campus","Australian Education",0,0
"Diploma of Information Technology",Course,"Southern Cross University (SCU)","AUD 33,184.00","Gold Coast Campus,Melbourne Campus,Perth Campus,Sydney Campus","Australian Education",0,0
"Diploma of Education",Course,"Southern Cross University (SCU)","AUD 30,832.00","Gold Coast Campus","Australian Education",0,0
"Diploma of Engineering",Course,"Southern Cross University (SCU)","AUD 36,960.00","Lismore Campus,Gold Coast Campus","Australian Education",0,0
"Undergraduate Certificate in Nursing",Course,"Southern Cross University (SCU)","AUD 15,416.00","Lismore Campus,Coffs Harbour Campus,Gold Coast Campus","Australian Education",0,0
"Undergraduate Certificate in Community Welfare",Course,"Southern Cross University (SCU)","AUD 15,416.00","Gold Coast Campus","Australian Education",0,0
"Undergraduate Certificate in Psychological Science",Course,"Southern Cross University (SCU)","AUD 15,416.00","Gold Coast Campus,Coffs Harbour Campus","Australian Education",0,0
"Master of Computing",Course,"Southern Cross University (SCU)","AUD 70,560.00","Gold Coast Campus","Australian Education",0,0
"Graduate Diploma in Regenerative Agriculture",Course,"Southern Cross University (SCU)","AUD 35,280.00","Lismore Campus","Australian Education",0,0
"Graduate Diploma of Business",Course,"Southern Cross University (SCU)","AUD 31,920.00","Gold Coast Campus,Melbourne Campus,Perth Campus,Sydney Campus","Australian Education",0,0
"Graduate Diploma of Computing",Course,"Southern Cross University (SCU)","AUD 35,280.00","Gold Coast Campus","Australian Education",0,0
"Diploma of Leadership and Management",Course,"Opulence College","AUD 6,800.00","CANBERRA CAMPUS,MELBOURNE CAMPUS","Australian Education",0,0
"Advanced Diploma of Business",Course,"Opulence College","AUD 9,800.00","CANBERRA CAMPUS,MELBOURNE CAMPUS","Australian Education",0,0
"Certificate IV in Kitchen Management",Course,"Opulence College","AUD 0.00","CANBERRA CAMPUS,MELBOURNE CAMPUS","Australian Education",0,0
"Certificate III in Commercial Cookery",Course,"Opulence College","AUD 0.00","CANBERRA CAMPUS,MELBOURNE CAMPUS","Australian Education",0,0
"Diploma of Hospitality Management",Course,"Opulence College","AUD 0.00","CANBERRA CAMPUS,MELBOURNE CAMPUS","Australian Education",0,0
"Diploma of Business",Course,"Opulence College","AUD 6,800.00","CANBERRA CAMPUS,MELBOURNE CAMPUS","Australian Education",0,0
"Diploma of Human Resource Management",Course,"Opulence College","AUD 6,800.00","CANBERRA CAMPUS,MELBOURNE CAMPUS","Australian Education",0,0
"Diploma of Information Technology",Course,"Opulence College","AUD 9,800.00","CANBERRA CAMPUS,MELBOURNE CAMPUS","Australian Education",0,0
"Advanced Diploma of Human Resource Management",Course,"Opulence College","AUD 0.00","CANBERRA CAMPUS,MELBOURNE CAMPUS","Australian Education",0,0
"Certificate IV in Kitchen Management",Course,"Australian Harbour International College (AHIC)","AUD 18,000.00","Sydney Campus,Chalmers St Campus","Australian Education,Insurance Service,VISA Service",1,1
"Diploma of Hospitality Management",Course,"Australian Harbour International College (AHIC)","AUD 18,000.00","Sydney Campus,Chalmers St Campus","Australian Education,Insurance Service,VISA Service",1,1
"Master of Transdisciplinary Innovation (Research)",Course,"University of Technology Sydney (UTS)","AUD 68,700.00","UTS Campus","Australian Education",0,0
"Master of Architecture",Course,"University of Technology Sydney (UTS)","AUD 20,230.00","UTS Campus,Moore Park Campus","Australian Education",0,0
"Master of Business Analytics (Extension)",Course,"University of Technology Sydney (UTS)","AUD 0.00","UTS Campus","Australian Education",0,0
"Bachelor of Information Technology Bachelor of Business",Course,"University of Technology Sydney (UTS)","AUD 192,192.00","UTS Campus","Australian Education",0,0
"Bachelor of Information Technology",Course,"University of Technology Sydney (UTS)","AUD 144,144.00","UTS Campus","Australian Education",0,0
"Master of International Commercial and Business Law Master of Business Administration",Course,"University of Technology Sydney (UTS)","AUD 79,968.00","UTS Campus","Australian Education",0,0
"Master of Cybersecurity (Extension)",Course,"University of Technology Sydney (UTS)","AUD 100,032.00","UTS Campus","Australian Education",0,0
"Master of Artificial Intelligence",Course,"University of Technology Sydney (UTS)","AUD 97,152.00","UTS Campus","Australian Education",0,0
"Bachelor of Cybersecurity",Course,"University of Technology Sydney (UTS)","AUD 151,200.00","UTS Campus","Australian Education",0,0
"Master Of Science in Biomedical Engineering",Course,"University of Technology Sydney (UTS)","AUD 40,290.00","UTS Campus","Australian Education",0,0
"Master of Science in Internetworking",Course,"University of Technology Sydney (UTS)","AUD 46,260.00","UTS Campus","Australian Education",0,0
"Master of Science in Internetworking (Extention)",Course,"University of Technology Sydney (UTS)","AUD 92,520.00","UTS Campus","Australian Education",0,0
"Master of Science in Marine Science and Management",Course,"University of Technology Sydney (UTS)","AUD 40,290.00","UTS Campus","Australian Education",0,0
"Master of Science in Mathematical and Statistical Modelling",Course,"University of Technology Sydney (UTS)","AUD 40,290.00","UTS Campus","Australian Education",0,0
"Master of Speech and Language Science (Research)",Course,"University of Technology Sydney (UTS)","AUD 66,140.00","UTS Campus","Australian Education",0,0
"Master of Speech Pathology",Course,"University of Technology Sydney (UTS)","AUD 106,240.00","UTS Campus","Australian Education",0,0
"Master of Sport and Excercise (Research)",Course,"University of Technology Sydney (UTS)","AUD 70,560.00","UTS Campus","Australian Education",0,0
"Master of Sport Management",Course,"University of Technology Sydney (UTS)","AUD 33,070.00","UTS Campus","Australian Education",0,0
"Master of Strategic Communication",Course,"University of Technology Sydney (UTS)","AUD 32,600.00","UTS Campus","Australian Education",0,0
"Master of Strategic Supply Chain Management",Course,"University of Technology Sydney (UTS)","AUD 41,110.00","UTS Campus","Australian Education",0,0
"Master of Strategic Supply Chain Mnagement (Extention)",Course,"University of Technology Sydney (UTS)","AUD 82,220.00","UTS Campus","Australian Education",0,0
"Master of Teaching in Secondary Education",Course,"University of Technology Sydney (UTS)","AUD 54,240.00","UTS Campus","Australian Education",0,0
"Master of Property Development",Course,"University of Technology Sydney (UTS)","AUD 33,070.00","UTS Campus","Australian Education",0,0
"Master of Property Development and Investment",Course,"University of Technology Sydney (UTS)","AUD 68,700.00","UTS Campus","Australian Education",0,0
"Master of Property Development and Planning",Course,"University of Technology Sydney (UTS)","AUD 66,140.00","UTS Campus","Australian Education",0,0
"Master of Property Development and Project Management",Course,"University of Technology Sydney (UTS)","AUD 66,140.00","UTS Campus","Australian Education",0,0
"Master of Public Health",Course,"University of Technology Sydney (UTS)","AUD 35,280.00","UTS Campus","Australian Education",0,0
"Master of Quantitive Finance",Course,"University of Technology Sydney (UTS)","AUD 41,110.00","UTS Campus","Australian Education",0,0
"Master of Real Estate Investment",Course,"University of Technology Sydney (UTS)","AUD 34,350.00","UTS Campus","Australian Education",0,0
"Master of Science (Extention) in Biomedical Engineering",Course,"University of Technology Sydney (UTS)","AUD 80,580.00","UTS Campus","Australian Education",0,0
"Master of Science (Extention) in Marine Science and Management",Course,"University of Technology Sydney (UTS)","AUD 80,580.00","UTS Campus","Australian Education",0,0
"Master of Science (Extention) in Mathematical and Statistical Modelling",Course,"University of Technology Sydney (UTS)","AUD 80,580.00","UTS Campus","Australian Education",0,0
"Master Of Science (Research)",Course,"University of Technology Sydney (UTS)","AUD 80,580.00","UTS Campus","Australian Education",0,0
"Master Of Science (Research) in Computer Science",Course,"University of Technology Sydney (UTS)","AUD 71,760.00","UTS Campus","Australian Education",0,0
"Master Of Science (Research) in Mathematical Science",Course,"University of Technology Sydney (UTS)","AUD 80,580.00","UTS Campus","Australian Education",0,0
"Master of Medical Biotechnology",Course,"University of Technology Sydney (UTS)","AUD 40,290.00","UTS Campus","Australian Education",0,0
"Master of Not-For-Profit and Social Enterprise Management",Course,"University of Technology Sydney (UTS)","AUD 33,070.00","UTS Campus","Australian Education",0,0
"Master of Not-For-Profit and Social Enterprise Management (Extention)",Course,"University of Technology Sydney (UTS)","AUD 66,140.00","UTS Campus","Australian Education",0,0
"Master of Nursing (Research)",Course,"University of Technology Sydney (UTS)","AUD 70,560.00","UTS Campus","Australian Education",0,0
"Master of Orthoptics",Course,"University of Technology Sydney (UTS)","AUD 80,580.00","UTS Campus","Australian Education",0,0
"Master of Pharmacy",Course,"University of Technology Sydney (UTS)","AUD 83,820.00","UTS Campus","Australian Education",0,0
"Master of Pharmacy (International)",Course,"University of Technology Sydney (UTS)","AUD 125,730.00","UTS Campus","Australian Education",0,0
"Msater of Physiotherapy",Course,"University of Technology Sydney (UTS)","AUD 110,520.00","UTS Campus","Australian Education",0,0
"Master of Planning",Course,"University of Technology Sydney (UTS)","AUD 33,070.00","UTS Campus","Australian Education",0,0
